symbol,edge_name,category,horizon_bars,direction,n_signals,hit_rate,mean_return_bps,std_return_bps,sharpe,t_stat,p_value,expectancy_bps,edge_score,sample_pct
XLC,stack_orderflow_trend_align,STACK,390,long,449,0.8018,457.96,552.21,1.7,17.573,0.0,205624.3,17.573,8.85
XLK,tick_imb_positive,ORDERFLOW,390,long,952,0.7836,567.4,996.47,1.167,17.569,0.0,540160.6,17.569,18.77
XLI,momo_5d_strong_down,MOMENTUM,390,long,339,0.7876,694.2,727.92,1.954,17.559,0.0,235334.9,17.559,6.68
NQ=F,vol_compression_then_expansion,GAMMA_PROXY,390,long,2810,0.6851,167.42,506.23,0.678,17.531,0.0,470436.5,17.531,20.55
DIA,dow_monday,TIME_OF_DAY,390,long,885,0.7141,313.1,532.74,1.204,17.484,0.0,277097.7,17.484,17.46
QQQ,trend_below_50sma,MOMENTUM,100,long,1920,0.688,184.62,462.83,1.614,17.479,0.0,354468.5,17.479,37.88
XLU,momo_acceleration_neg,MOMENTUM,390,long,1839,0.6552,259.04,635.98,0.835,17.467,0.0,476379.6,17.467,36.26
SLV,rvol_low_decile,VOL_REGIME,390,long,341,0.8534,1053.37,1114.94,1.936,17.446,0.0,359199.6,17.446,6.73
XLE,death_cross_state,MOMENTUM,390,long,1958,0.6129,353.7,903.86,0.802,17.316,0.0,692535.2,17.316,38.6
SPY,tod_open_hour,TIME_OF_DAY,390,long,673,0.8024,400.07,599.81,1.367,17.303,0.0,269244.2,17.303,13.28
DIA,dow_friday,TIME_OF_DAY,390,long,946,0.7252,294.73,525.14,1.15,17.262,0.0,278817.1,17.262,18.67
IWM,momo_acceleration_neg,MOMENTUM,390,long,1778,0.698,336.08,821.37,0.839,17.253,0.0,597548.3,17.253,35.08
SLV,dow_monday,TIME_OF_DAY,390,long,885,0.7492,1253.71,2163.4,1.188,17.24,0.0,1109533.8,17.24,17.46
XLK,cvd_rising_strong,ORDERFLOW,390,long,948,0.7352,598.42,1069.78,1.146,17.223,0.0,567297.8,17.223,18.69
NQ=F,tick_imb_positive,ORDERFLOW,390,long,2783,0.678,163.83,503.44,0.667,17.167,0.0,455928.4,17.167,20.35
AUDUSD=X,rvol_high_decile,VOL_REGIME,390,long,1817,0.672,90.89,225.8,0.825,17.159,0.0,165155.9,17.159,10.49
NQ=F,dow_friday,TIME_OF_DAY,390,long,2436,0.7016,157.51,454.04,0.711,17.122,0.0,383695.1,17.122,17.81
SPY,rvol_high_decile,VOL_REGIME,100,long,557,0.7774,252.91,348.94,2.933,17.106,0.0,140872.3,17.106,10.99
YM=F,dow_monday,TIME_OF_DAY,390,long,2583,0.7011,106.1,315.44,0.689,17.094,0.0,274055.9,17.094,18.9
GC=F,rsi_oversold_30,MEAN_REV,390,long,569,0.8243,309.7,432.24,1.468,17.091,0.0,176217.0,17.091,4.15
ES=F,trend_below_50sma,MOMENTUM,100,long,5449,0.6322,49.84,216.15,0.933,17.02,0.0,271565.4,17.02,39.84
CPER,tod_power_hour,TIME_OF_DAY,390,long,913,0.6813,542.83,965.53,1.152,16.987,0.0,495599.4,16.987,18.04
ES=F,inside_bar,STRUCTURE,390,long,1737,0.7225,148.13,363.69,0.835,16.975,0.0,257306.3,16.975,12.7
GLD,vol_spike_2sd,VOLUME,390,long,289,0.8512,796.27,798.48,2.044,16.953,0.0,230121.3,16.953,5.7
GLD,rvol_high_decile,VOL_REGIME,390,long,562,0.7989,497.51,696.14,1.465,16.942,0.0,279599.9,16.942,11.09
XLF,tick_imb_positive,ORDERFLOW,390,long,946,0.7526,331.8,603.08,1.128,16.922,0.0,313882.9,16.922,18.63
XLK,golden_cross_state,MOMENTUM,100,long,3105,0.6731,147.47,486.15,1.228,16.902,0.0,457883.9,16.902,61.22
XLY,trend_above_50sma,MOMENTUM,390,long,2584,0.6513,283.19,852.49,0.681,16.886,0.0,731764.0,16.886,50.95
SLV,dow_friday,TIME_OF_DAY,390,long,946,0.7273,1135.82,2069.87,1.125,16.878,0.0,1074482.3,16.878,18.67
